Numero;Habilidade1;Habilidade2;HabilidadeOculta
1;overgrow;;chlorophyll
2;overgrow;;chlorophyll
3;overgrow;;chlorophyll
4;blaze;;solar-power
5;blaze;;solar-power
6;blaze;;solar-power
7;torrent;;rain-dish
8;torrent;;rain-dish
9;torrent;;rain-dish
10;shield-dust;;run-away
11;shed-skin;;
12;compound-eyes;;tinted-lens
13;shield-dust;;run-away
14;shed-skin;;
15;swarm;;sniper
16;keen-eye;tangled-feet;big-pecks
17;keen-eye;tangled-feet;big-pecks
18;keen-eye;tangled-feet;big-pecks
19;run-away;guts;hustle
20;run-away;guts;hustle
21;keen-eye;;sniper
22;keen-eye;;sniper
23;intimidate;shed-skin;unnerve
24;intimidate;shed-skin;unnerve
25;static;;lightning-rod
26;static;;lightning-rod
27;sand-veil;;sand-rush
28;sand-veil;;sand-rush
29;poison-point;rivalry;hustle
30;poison-point;rivalry;hustle
31;poison-point;rivalry;sheer-force
32;poison-point;rivalry;hustle
33;poison-point;rivalry;hustle
34;poison-point;rivalry;sheer-force
35;cute-charm;magic-guard;friend-guard
36;cute-charm;magic-guard;unaware
37;flash-fire;;drought
38;flash-fire;;drought
39;cute-charm;competitive;friend-guard
40;cute-charm;competitive;frisk
41;inner-focus;;infiltrator
42;inner-focus;;infiltrator
43;chlorophyll;;run-away
44;chlorophyll;;stench
45;chlorophyll;;effect-spore
46;effect-spore;dry-skin;damp
47;effect-spore;dry-skin;damp
48;compound-eyes;tinted-lens;run-away
49;shield-dust;tinted-lens;wonder-skin
50;sand-veil;arena-trap;sand-force
51;sand-veil;arena-trap;sand-force
52;pickup;technician;unnerve
53;limber;technician;unnerve
54;damp;cloud-nine;swift-swim
55;damp;cloud-nine;swift-swim
56;vital-spirit;anger-point;defiant
57;vital-spirit;anger-point;defiant
58;intimidate;flash-fire;justified
59;intimidate;flash-fire;justified
60;water-absorb;damp;swift-swim
61;water-absorb;damp;swift-swim
62;water-absorb;damp;swift-swim
63;synchronize;inner-focus;magic-guard
64;synchronize;inner-focus;magic-guard
65;synchronize;inner-focus;magic-guard
66;guts;no-guard;steadfast
67;guts;no-guard;steadfast
68;guts;no-guard;steadfast
69;chlorophyll;;gluttony
70;chlorophyll;;gluttony
71;chlorophyll;;gluttony
72;clear-body;liquid-ooze;rain-dish
73;clear-body;liquid-ooze;rain-dish
74;rock-head;sturdy;sand-veil
75;rock-head;sturdy;sand-veil
76;rock-head;sturdy;sand-veil
77;run-away;flash-fire;flame-body
78;run-away;flash-fire;flame-body
79;oblivious;own-tempo;regenerator
80;oblivious;own-tempo;regenerator
81;magnet-pull;sturdy;analytic
82;magnet-pull;sturdy;analytic
83;keen-eye;inner-focus;defiant
84;run-away;early-bird;tangled-feet
85;run-away;early-bird;tangled-feet
86;thick-fat;hydration;ice-body
87;thick-fat;hydration;ice-body
88;stench;sticky-hold;poison-touch
89;stench;sticky-hold;poison-touch
90;shell-armor;skill-link;overcoat
91;shell-armor;skill-link;overcoat
92;levitate;;
93;levitate;;
94;cursed-body;;
95;rock-head;sturdy;weak-armor
96;insomnia;forewarn;inner-focus
97;insomnia;forewarn;inner-focus
98;hyper-cutter;shell-armor;sheer-force
99;hyper-cutter;shell-armor;sheer-force
100;soundproof;static;aftermath
101;soundproof;static;aftermath
102;chlorophyll;;harvest
103;chlorophyll;;harvest
104;rock-head;lightning-rod;battle-armor
105;rock-head;lightning-rod;battle-armor
106;limber;reckless;unburden
107;keen-eye;iron-fist;inner-focus
108;own-tempo;oblivious;cloud-nine
109;levitate;neutralizing-gas;stench
110;levitate;neutralizing-gas;stench
111;lightning-rod;rock-head;reckless
112;lightning-rod;rock-head;reckless
113;natural-cure;serene-grace;healer
114;chlorophyll;leaf-guard;regenerator
115;early-bird;scrappy;inner-focus
116;swift-swim;sniper;damp
117;poison-point;sniper;damp
118;swift-swim;water-veil;lightning-rod
119;swift-swim;water-veil;lightning-rod
120;illuminate;natural-cure;analytic
121;illuminate;natural-cure;analytic
122;soundproof;filter;technician
123;swarm;technician;steadfast
124;oblivious;forewarn;dry-skin
125;static;;vital-spirit
126;flame-body;;vital-spirit
127;hyper-cutter;mold-breaker;moxie
128;intimidate;anger-point;sheer-force
129;swift-swim;;rattled
130;intimidate;;moxie
131;water-absorb;shell-armor;hydration
132;limber;;imposter
133;run-away;adaptability;anticipation
134;water-absorb;;hydration
135;volt-absorb;;quick-feet
136;flash-fire;;guts
137;trace;download;analytic
138;swift-swim;shell-armor;weak-armor
139;swift-swim;shell-armor;weak-armor
140;swift-swim;battle-armor;weak-armor
141;swift-swim;battle-armor;weak-armor
142;rock-head;pressure;unnerve
143;immunity;thick-fat;gluttony
144;pressure;;snow-cloak
145;pressure;;static
146;pressure;;flame-body
147;shed-skin;;marvel-scale
148;shed-skin;;marvel-scale
149;inner-focus;;multiscale
150;pressure;;unnerve
151;synchronize;;
152;overgrow;;leaf-guard
153;overgrow;;leaf-guard
154;overgrow;;leaf-guard
155;blaze;;flash-fire
156;blaze;;flash-fire
157;blaze;;flash-fire
158;torrent;;sheer-force
159;torrent;;sheer-force
160;torrent;;sheer-force
161;run-away;keen-eye;frisk
162;run-away;keen-eye;frisk
163;insomnia;keen-eye;tinted-lens
164;insomnia;keen-eye;tinted-lens
165;swarm;early-bird;rattled
166;swarm;early-bird;iron-fist
167;swarm;insomnia;sniper
168;swarm;insomnia;sniper
169;inner-focus;;infiltrator
170;volt-absorb;illuminate;water-absorb
171;volt-absorb;illuminate;water-absorb
172;static;;lightning-rod
173;cute-charm;magic-guard;friend-guard
174;cute-charm;competitive;friend-guard
175;hustle;serene-grace;super-luck
176;hustle;serene-grace;super-luck
177;synchronize;early-bird;magic-bounce
178;synchronize;early-bird;magic-bounce
179;static;;plus
180;static;;plus
181;static;;plus
182;chlorophyll;;healer
183;thick-fat;huge-power;sap-sipper
184;thick-fat;huge-power;sap-sipper
185;sturdy;rock-head;rattled
186;water-absorb;damp;drizzle
187;chlorophyll;leaf-guard;infiltrator
188;chlorophyll;leaf-guard;infiltrator
189;chlorophyll;leaf-guard;infiltrator
190;run-away;pickup;skill-link
191;chlorophyll;solar-power;early-bird
192;chlorophyll;solar-power;early-bird
193;speed-boost;compound-eyes;frisk
194;damp;water-absorb;unaware
195;damp;water-absorb;unaware
196;synchronize;;magic-bounce
197;synchronize;;inner-focus
198;insomnia;super-luck;prankster
199;oblivious;own-tempo;regenerator
200;levitate;;
201;levitate;;
202;shadow-tag;;telepathy
203;inner-focus;early-bird;sap-sipper
204;sturdy;;overcoat
205;sturdy;;overcoat
206;serene-grace;run-away;rattled
207;hyper-cutter;sand-veil;immunity
208;rock-head;sturdy;sheer-force
209;intimidate;run-away;rattled
210;intimidate;quick-feet;rattled
211;poison-point;swift-swim;intimidate
212;swarm;technician;light-metal
213;sturdy;gluttony;contrary
214;swarm;guts;moxie
215;inner-focus;keen-eye;pickpocket
216;pickup;quick-feet;honey-gather
217;guts;quick-feet;unnerve
218;magma-armor;flame-body;weak-armor
219;magma-armor;flame-body;weak-armor
220;oblivious;snow-cloak;thick-fat
221;oblivious;snow-cloak;thick-fat
222;hustle;natural-cure;regenerator
223;hustle;sniper;moody
224;suction-cups;sniper;moody
225;vital-spirit;hustle;insomnia
226;swift-swim;water-absorb;water-veil
227;keen-eye;sturdy;weak-armor
228;early-bird;flash-fire;unnerve
229;early-bird;flash-fire;unnerve
230;swift-swim;sniper;damp
231;pickup;;sand-veil
232;sturdy;;sand-veil
233;trace;download;analytic
234;intimidate;frisk;sap-sipper
235;own-tempo;technician;moody
236;guts;steadfast;vital-spirit
237;intimidate;technician;steadfast
238;oblivious;forewarn;hydration
239;static;;vital-spirit
240;flame-body;;vital-spirit
241;thick-fat;scrappy;sap-sipper
242;natural-cure;serene-grace;healer
243;pressure;;inner-focus
244;pressure;;inner-focus
245;pressure;;inner-focus
246;guts;;sand-veil
247;shed-skin;;
248;sand-stream;;unnerve
249;pressure;;multiscale
250;pressure;;regenerator
251;natural-cure;;
252;overgrow;;unburden
253;overgrow;;unburden
254;overgrow;;unburden
255;blaze;;speed-boost
256;blaze;;speed-boost
257;blaze;;speed-boost
258;torrent;;damp
259;torrent;;damp
260;torrent;;damp
261;run-away;quick-feet;rattled
262;intimidate;quick-feet;moxie
263;pickup;gluttony;quick-feet
264;pickup;gluttony;quick-feet
265;shield-dust;;run-away
266;shed-skin;;
267;swarm;;rivalry
268;shed-skin;;
269;shield-dust;;compound-eyes
270;swift-swim;rain-dish;own-tempo
271;swift-swim;rain-dish;own-tempo
272;swift-swim;rain-dish;own-tempo
273;chlorophyll;early-bird;pickpocket
274;chlorophyll;early-bird;pickpocket
275;chlorophyll;early-bird;pickpocket
276;guts;;scrappy
277;guts;;scrappy
278;keen-eye;hydration;rain-dish
279;keen-eye;drizzle;rain-dish
280;synchronize;trace;telepathy
281;synchronize;trace;telepathy
282;synchronize;trace;telepathy
283;swift-swim;;rain-dish
284;intimidate;;unnerve
285;effect-spore;poison-heal;quick-feet
286;effect-spore;poison-heal;technician
287;truant;;
288;vital-spirit;;
289;truant;;
290;compound-eyes;;run-away
291;speed-boost;;infiltrator
292;wonder-guard;;
293;soundproof;;rattled
294;soundproof;;scrappy
295;soundproof;;scrappy
296;thick-fat;guts;sheer-force
297;thick-fat;guts;sheer-force
298;thick-fat;huge-power;sap-sipper
299;sturdy;magnet-pull;sand-force
300;cute-charm;normalize;wonder-skin
301;cute-charm;normalize;wonder-skin
302;keen-eye;stall;prankster
303;hyper-cutter;intimidate;sheer-force
304;sturdy;rock-head;heavy-metal
305;sturdy;rock-head;heavy-metal
306;sturdy;rock-head;heavy-metal
307;pure-power;;telepathy
308;pure-power;;telepathy
309;static;lightning-rod;minus
310;static;lightning-rod;minus
311;plus;;lightning-rod
312;minus;;volt-absorb
313;illuminate;swarm;prankster
314;oblivious;tinted-lens;prankster
315;natural-cure;poison-point;leaf-guard
316;liquid-ooze;sticky-hold;gluttony
317;liquid-ooze;sticky-hold;gluttony
318;rough-skin;;speed-boost
319;rough-skin;;speed-boost
320;water-veil;oblivious;pressure
321;water-veil;oblivious;pressure
322;oblivious;simple;own-tempo
323;magma-armor;solid-rock;anger-point
324;white-smoke;drought;shell-armor
325;thick-fat;own-tempo;gluttony
326;thick-fat;own-tempo;gluttony
327;own-tempo;tangled-feet;contrary
328;hyper-cutter;arena-trap;sheer-force
329;levitate;;
330;levitate;;
331;sand-veil;;water-absorb
332;sand-veil;;water-absorb
333;natural-cure;;cloud-nine
334;natural-cure;;cloud-nine
335;immunity;;toxic-boost
336;shed-skin;;infiltrator
337;levitate;;
338;levitate;;
339;oblivious;anticipation;hydration
340;oblivious;anticipation;hydration
341;hyper-cutter;shell-armor;adaptability
342;hyper-cutter;shell-armor;adaptability
343;levitate;;
344;levitate;;
345;suction-cups;;storm-drain
346;suction-cups;;storm-drain
347;battle-armor;;swift-swim
348;battle-armor;;swift-swim
349;swift-swim;oblivious;adaptability
350;marvel-scale;competitive;cute-charm
351;forecast;;
352;color-change;;protean
353;insomnia;frisk;cursed-body
354;insomnia;frisk;cursed-body
355;levitate;;frisk
356;pressure;;frisk
357;chlorophyll;solar-power;harvest
358;levitate;;
359;pressure;super-luck;justified
360;shadow-tag;;telepathy
361;inner-focus;ice-body;moody
362;inner-focus;ice-body;moody
363;thick-fat;ice-body;oblivious
364;thick-fat;ice-body;oblivious
365;thick-fat;ice-body;oblivious
366;shell-armor;;rattled
367;swift-swim;;water-veil
368;swift-swim;;hydration
369;swift-swim;rock-head;sturdy
370;swift-swim;;hydration
371;rock-head;;sheer-force
372;rock-head;;overcoat
373;intimidate;;moxie
374;clear-body;;light-metal
375;clear-body;;light-metal
376;clear-body;;light-metal
377;clear-body;;sturdy
378;clear-body;;ice-body
379;clear-body;;light-metal
380;levitate;;
381;levitate;;
382;drizzle;;
383;drought;;
384;air-lock;;
385;serene-grace;;
386;pressure;;
387;overgrow;;shell-armor
388;overgrow;;shell-armor
389;overgrow;;shell-armor
390;blaze;;iron-fist
391;blaze;;iron-fist
392;blaze;;iron-fist
393;torrent;;defiant
394;torrent;;defiant
395;torrent;;defiant
396;keen-eye;;reckless
397;intimidate;;reckless
398;intimidate;;reckless
399;simple;unaware;moody
400;simple;unaware;moody
401;shed-skin;;run-away
402;swarm;;technician
403;rivalry;intimidate;guts
404;rivalry;intimidate;guts
405;rivalry;intimidate;guts
406;natural-cure;poison-point;leaf-guard
407;natural-cure;poison-point;technician
408;mold-breaker;;sheer-force
409;mold-breaker;;sheer-force
410;sturdy;;soundproof
411;sturdy;;soundproof
412;shed-skin;;overcoat
413;anticipation;;overcoat
414;swarm;;tinted-lens
415;honey-gather;;hustle
416;pressure;;unnerve
417;run-away;pickup;volt-absorb
418;swift-swim;;water-veil
419;swift-swim;;water-veil
420;chlorophyll;;
421;flower-gift;;
422;sticky-hold;storm-drain;sand-force
423;sticky-hold;storm-drain;sand-force
424;technician;pickup;skill-link
425;aftermath;unburden;flare-boost
426;aftermath;unburden;flare-boost
427;run-away;klutz;limber
428;cute-charm;klutz;limber
429;levitate;;
430;insomnia;super-luck;moxie
431;limber;own-tempo;keen-eye
432;thick-fat;own-tempo;defiant
433;levitate;;
434;stench;aftermath;keen-eye
435;stench;aftermath;keen-eye
436;levitate;heatproof;heavy-metal
437;levitate;heatproof;heavy-metal
438;sturdy;rock-head;rattled
439;soundproof;filter;technician
440;natural-cure;serene-grace;friend-guard
441;keen-eye;tangled-feet;big-pecks
442;pressure;;infiltrator
443;sand-veil;;rough-skin
444;sand-veil;;rough-skin
445;sand-veil;;rough-skin
446;pickup;thick-fat;gluttony
447;steadfast;inner-focus;prankster
448;steadfast;inner-focus;justified
449;sand-stream;;sand-force
450;sand-stream;;sand-force
451;battle-armor;sniper;keen-eye
452;battle-armor;sniper;keen-eye
453;anticipation;dry-skin;poison-touch
454;anticipation;dry-skin;poison-touch
455;levitate;;
456;swift-swim;storm-drain;water-veil
457;swift-swim;storm-drain;water-veil
458;swift-swim;water-absorb;water-veil
459;snow-warning;;soundproof
460;snow-warning;;soundproof
461;pressure;;pickpocket
462;magnet-pull;sturdy;analytic
463;own-tempo;oblivious;cloud-nine
464;lightning-rod;solid-rock;reckless
465;chlorophyll;leaf-guard;regenerator
466;motor-drive;;vital-spirit
467;flame-body;;vital-spirit
468;hustle;serene-grace;super-luck
469;speed-boost;tinted-lens;frisk
470;leaf-guard;;chlorophyll
471;snow-cloak;;ice-body
472;hyper-cutter;sand-veil;poison-heal
473;oblivious;snow-cloak;thick-fat
474;adaptability;download;analytic
475;steadfast;;justified
476;sturdy;magnet-pull;sand-force
477;pressure;;frisk
478;snow-cloak;;cursed-body
479;levitate;;
480;levitate;;
481;levitate;;
482;levitate;;
483;pressure;;telepathy
484;pressure;;telepathy
485;flash-fire;;flame-body
486;slow-start;;
487;pressure;;telepathy
488;levitate;;
489;hydration;;
490;hydration;;
491;bad-dreams;;
492;natural-cure;;
493;multitype;;
494;victory-star;;
495;overgrow;;contrary
496;overgrow;;contrary
497;overgrow;;contrary
498;blaze;;thick-fat
499;blaze;;thick-fat
500;blaze;;reckless
501;torrent;;shell-armor
502;torrent;;shell-armor
503;torrent;;shell-armor
504;run-away;keen-eye;analytic
505;illuminate;keen-eye;analytic
506;vital-spirit;pickup;run-away
507;intimidate;sand-rush;scrappy
508;intimidate;sand-rush;scrappy
509;limber;unburden;prankster
510;limber;unburden;prankster
511;gluttony;;overgrow
512;gluttony;;overgrow
513;gluttony;;blaze
514;gluttony;;blaze
515;gluttony;;torrent
516;gluttony;;torrent
517;forewarn;synchronize;telepathy
518;forewarn;synchronize;telepathy
519;big-pecks;super-luck;rivalry
520;big-pecks;super-luck;rivalry
521;big-pecks;super-luck;rivalry
522;lightning-rod;motor-drive;sap-sipper
523;lightning-rod;motor-drive;sap-sipper
524;sturdy;weak-armor;sand-force
525;sturdy;weak-armor;sand-force
526;sturdy;sand-stream;sand-force
527;unaware;klutz;simple
528;unaware;klutz;simple
529;sand-rush;sand-force;mold-breaker
530;sand-rush;sand-force;mold-breaker
531;healer;regenerator;klutz
532;guts;sheer-force;iron-fist
533;guts;sheer-force;iron-fist
534;guts;sheer-force;iron-fist
535;swift-swim;hydration;water-absorb
536;swift-swim;hydration;water-absorb
537;swift-swim;poison-touch;water-absorb
538;guts;inner-focus;mold-breaker
539;sturdy;inner-focus;mold-breaker
540;swarm;chlorophyll;overcoat
541;leaf-guard;chlorophyll;overcoat
542;swarm;chlorophyll;overcoat
543;poison-point;swarm;speed-boost
544;poison-point;swarm;speed-boost
545;poison-point;swarm;speed-boost
546;prankster;infiltrator;chlorophyll
547;prankster;infiltrator;chlorophyll
548;chlorophyll;own-tempo;leaf-guard
549;chlorophyll;own-tempo;leaf-guard
550;reckless;adaptability;mold-breaker
551;intimidate;moxie;anger-point
552;intimidate;moxie;anger-point
553;intimidate;moxie;anger-point
554;hustle;;inner-focus
555;sheer-force;;zen-mode
556;water-absorb;chlorophyll;storm-drain
557;sturdy;shell-armor;weak-armor
558;sturdy;shell-armor;weak-armor
559;shed-skin;moxie;intimidate
560;shed-skin;moxie;intimidate
561;wonder-skin;magic-guard;tinted-lens
562;mummy;;
563;mummy;;
564;solid-rock;sturdy;swift-swim
565;solid-rock;sturdy;swift-swim
566;defeatist;;
567;defeatist;;
568;stench;sticky-hold;aftermath
569;stench;weak-armor;aftermath
570;illusion;;
571;illusion;;
572;cute-charm;technician;skill-link
573;cute-charm;technician;skill-link
574;frisk;competitive;shadow-tag
575;frisk;competitive;shadow-tag
576;frisk;competitive;shadow-tag
577;overcoat;magic-guard;regenerator
578;overcoat;magic-guard;regenerator
579;overcoat;magic-guard;regenerator
580;keen-eye;big-pecks;hydration
581;keen-eye;big-pecks;hydration
582;ice-body;snow-cloak;weak-armor
583;ice-body;snow-cloak;weak-armor
584;ice-body;snow-warning;weak-armor
585;chlorophyll;sap-sipper;serene-grace
586;chlorophyll;sap-sipper;serene-grace
587;static;;motor-drive
588;swarm;shed-skin;no-guard
589;swarm;shell-armor;overcoat
590;effect-spore;;regenerator
591;effect-spore;;regenerator
592;water-absorb;cursed-body;damp
593;water-absorb;cursed-body;damp
594;healer;hydration;regenerator
595;compound-eyes;unnerve;swarm
596;compound-eyes;unnerve;swarm
597;iron-barbs;;
598;iron-barbs;;anticipation
599;plus;minus;clear-body
600;plus;minus;clear-body
601;plus;minus;clear-body
602;levitate;;
603;levitate;;
604;levitate;;
605;telepathy;synchronize;analytic
606;telepathy;synchronize;analytic
607;flash-fire;flame-body;infiltrator
608;flash-fire;flame-body;infiltrator
609;flash-fire;flame-body;infiltrator
610;rivalry;mold-breaker;unnerve
611;rivalry;mold-breaker;unnerve
612;rivalry;mold-breaker;unnerve
613;snow-cloak;slush-rush;rattled
614;snow-cloak;slush-rush;swift-swim
615;levitate;;
616;hydration;shell-armor;overcoat
617;hydration;sticky-hold;unburden
618;static;limber;sand-veil
619;inner-focus;regenerator;reckless
620;inner-focus;regenerator;reckless
621;rough-skin;sheer-force;mold-breaker
622;iron-fist;klutz;no-guard
623;iron-fist;klutz;no-guard
624;defiant;inner-focus;pressure
625;defiant;inner-focus;pressure
626;reckless;sap-sipper;soundproof
627;keen-eye;sheer-force;hustle
628;keen-eye;sheer-force;defiant
629;big-pecks;overcoat;weak-armor
630;big-pecks;overcoat;weak-armor
631;gluttony;flash-fire;white-smoke
632;swarm;hustle;truant
633;hustle;;
634;hustle;;
635;levitate;;
636;flame-body;;swarm
637;flame-body;;swarm
638;justified;;
639;justified;;
640;justified;;
641;prankster;;defiant
642;prankster;;defiant
643;turboblaze;;
644;teravolt;;
645;sand-force;;sheer-force
646;pressure;;
647;justified;;
648;serene-grace;;
649;download;;
650;overgrow;;bulletproof
651;overgrow;;bulletproof
652;overgrow;;bulletproof
653;blaze;;magician
654;blaze;;magician
655;blaze;;magician
656;torrent;;protean
657;torrent;;protean
658;torrent;;protean
659;pickup;cheek-pouch;huge-power
660;pickup;cheek-pouch;huge-power
661;big-pecks;;gale-wings
662;flame-body;;gale-wings
663;flame-body;;gale-wings
664;shield-dust;compound-eyes;friend-guard
665;shed-skin;;friend-guard
666;shield-dust;compound-eyes;friend-guard
667;rivalry;unnerve;moxie
668;rivalry;unnerve;moxie
669;flower-veil;;symbiosis
670;flower-veil;;symbiosis
671;flower-veil;;symbiosis
672;sap-sipper;;grama-pelt
673;sap-sipper;;grama-pelt
674;iron-fist;mold-breaker;scrappy
675;iron-fist;mold-breaker;scrappy
676;fur-coat;;
677;keen-eye;infiltrator;own-tempo
678;keen-eye;infiltrator;prankster
679;no-guard;;
680;no-guard;;
681;stance-change;;
682;healer;;aroma-veil
683;healer;;aroma-veil
684;sweet-veil;;unburden
685;sweet-veil;;unburden
686;contrary;suction-cups;infiltrator
687;contrary;suction-cups;infiltrator
688;tough-claws;sniper;pickpocket
689;tough-claws;sniper;pickpocket
690;poison-point;poison-touch;adaptability
691;poison-point;poison-touch;adaptability
692;mega-launcher;;
693;mega-launcher;;
694;dry-skin;sand-veil;solar-power
695;dry-skin;sand-veil;solar-power
696;strong-jaw;;sturdy
697;strong-jaw;;rock-head
698;refrigerate;;snow-warning
699;refrigerate;;snow-warning
700;cute-charm;;pixilate
701;limber;unburden;mold-breaker
702;cheek-pouch;pickup;plus
703;clear-body;;sturdy
704;sap-sipper;hydration;gooey
705;sap-sipper;hydration;gooey
706;sap-sipper;hydration;gooey
707;prankster;;magician
708;natural-cure;frisk;harvest
709;natural-cure;frisk;harvest
710;pickup;frisk;insomnia
711;pickup;frisk;insomnia
712;own-tempo;ice-body;sturdy
713;own-tempo;ice-body;sturdy
714;frisk;infiltrator;telepathy
715;frisk;infiltrator;telepathy
716;fairy-aura;;
717;dark-aura;;
718;aura-break;;
719;clear-body;;
720;magician;;
721;water-absorb;;
722;overgrow;;long-reach
723;overgrow;;long-reach
724;overgrow;;long-reach
725;blaze;;intimidate
726;blaze;;intimidate
727;blaze;;intimidate
728;torrent;;liquid-voice
729;torrent;;liquid-voice
730;torrent;;liquid-voice
731;keen-eye;skill-link;pickup
732;keen-eye;skill-link;pickup
733;keen-eye;skill-link;sheer-force
734;stakeout;strong-jaw;adaptability
735;stakeout;strong-jaw;adaptability
736;swarm;;
737;battery;;
738;levitate;;
739;hyper-cutter;iron-fist;anger-point
740;hyper-cutter;iron-fist;anger-point
741;dancer;;
742;honey-gather;shield-dust;sweet-veil
743;honey-gather;shield-dust;sweet-veil
744;keen-eye;vital-spirit;steadfast
745;keen-eye;sand-rush;steadfast
746;schooling;;
747;merciless;limber;regenerator
748;merciless;limber;regenerator
749;own-tempo;stamina;inner-focus
750;own-tempo;stamina;inner-focus
751;water-bubble;;water-absorb
752;water-bubble;;water-absorb
753;leaf-guard;;contrary
754;leaf-guard;;contrary
755;illuminate;effect-spore;rain-dish
756;illuminate;effect-spore;rain-dish
757;corrosion;;oblivious
758;corrosion;;oblivious
759;fluffy;klutz;cute-charm
760;fluffy;klutz;unnerve
761;leaf-guard;oblivious;sweet-veil
762;leaf-guard;oblivious;sweet-veil
763;leaf-guard;queenly-majesty;sweet-veil
764;flower-veil;triage;natural-cure
765;inner-focus;telepathy;symbiosis
766;receiver;;defiant
767;wimp-out;;
768;emergency-exit;;
769;water-compaction;;sand-veil
770;water-compaction;;sand-veil
771;innards-out;;unaware
772;battle-armor;;
773;rks-system;;
774;shields-down;;
775;comatose;;
776;shell-armor;;
777;iron-barbs;lightning-rod;sturdy
778;disguise;;
779;dazzling;strong-jaw;wonder-skin
780;berserk;sap-sipper;cloud-nine
781;steelworker;;
782;bulletproof;soundproof;overcoat
783;bulletproof;soundproof;overcoat
784;bulletproof;soundproof;overcoat
785;electric-surge;;telepathy
786;psychic-surge;;telepathy
787;gramay-surge;;telepathy
788;misty-surge;;telepathy
789;unaware;;
790;sturdy;;
791;full-metal-body;;
792;shadow-shield;;
793;beast-boost;;
794;beast-boost;;
795;beast-boost;;
796;beast-boost;;
797;beast-boost;;
798;beast-boost;;
799;beast-boost;;
800;prism-armor;;
801;soul-heart;;
802;technician;;
803;beast-boost;;
804;beast-boost;;
805;beast-boost;;
806;beast-boost;;
807;volt-absorb;;
808;magnet-pull;;
809;iron-fist;;
810;overgrow;;gramay-surge
811;overgrow;;gramay-surge
812;overgrow;;gramay-surge
813;blaze;;libero
814;blaze;;libero
815;blaze;;libero
816;torrent;;sniper
817;torrent;;sniper
818;torrent;;sniper
819;cheek-pouch;;gluttony
820;cheek-pouch;;gluttony
821;keen-eye;unnerve;big-pecks
822;keen-eye;unnerve;big-pecks
823;pressure;unnerve;mirror-armor
824;swarm;compound-eyes;telepathy
825;swarm;compound-eyes;telepathy
826;swarm;frisk;telepathy
827;run-away;unburden;stakeout
828;run-away;unburden;stakeout
829;cotton-down;regenerator;effect-spore
830;cotton-down;regenerator;effect-spore
831;fluffy;run-away;bulletproof
832;fluffy;steadfast;bulletproof
833;strong-jaw;shell-armor;swift-swim
834;strong-jaw;shell-armor;swift-swim
835;ball-fetch;;rattled
836;strong-jaw;;competitive
837;steam-engine;heatproof;flash-fire
838;steam-engine;flame-body;flash-fire
839;steam-engine;flame-body;flash-fire
840;ripen;gluttony;bulletproof
841;ripen;gluttony;hustle
842;ripen;gluttony;thick-fat
843;sand-spit;shed-skin;sand-veil
844;sand-spit;shed-skin;sand-veil
845;gulp-missile;;
846;swift-swim;;propeller-tail
847;swift-swim;;propeller-tail
848;rattled;static;klutz
849;punk-rock;plus;technician
850;flash-fire;white-smoke;flame-body
851;flash-fire;white-smoke;flame-body
852;limber;;technician
853;limber;;technician
854;weak-armor;;cursed-body
855;weak-armor;;cursed-body
856;healer;anticipation;magic-bounce
857;healer;anticipation;magic-bounce
858;healer;anticipation;magic-bounce
859;prankster;frisk;pickpocket
860;prankster;frisk;pickpocket
861;prankster;frisk;pickpocket
862;reckless;guts;defiant
863;battle-armor;tough-claws;steely-spirit
864;weak-armor;;perish-body
865;steadfast;;scrappy
866;tangled-feet;screen-cleaner;ice-body
867;wandering-spirit;;
868;sweet-veil;;aroma-veil
869;sweet-veil;;aroma-veil
870;battle-armor;;defiant
871;lightning-rod;;electric-surge
872;shield-dust;;ice-scales
873;shield-dust;;ice-scales
874;power-spot;;
875;ice-face;;
876;inner-focus;synchronize;psychic-surge
877;hunger-switch;;
878;sheer-force;;heavy-metal
879;sheer-force;;heavy-metal
880;volt-absorb;hustle;sand-rush
881;volt-absorb;static;slush-rush
882;water-absorb;strong-jaw;sand-rush
883;water-absorb;ice-body;slush-rush
884;light-metal;heavy-metal;stalwart
885;clear-body;infiltrator;cursed-body
886;clear-body;infiltrator;cursed-body
887;clear-body;infiltrator;cursed-body
888;intrepid-sword;;
889;dauntless-shield;;
890;pressure;;
891;inner-focus;;
892;unseen-fist;;
893;leaf-guard;;
894;transistor;;
895;dragons-maw;;
896;chilling-neigh;;
897;grim-neigh;;
898;unnerve;;
899;intimidate;frisk;sap-sipper
900;swarm;sheer-force;steadfast
901;guts;bulletproof;unnerve
902;rattled;adaptability;mold-breaker
903;pressure;;poison-touch
904;poison-point;swift-swim;intimidate
905;healer;contrary;overcoat
